ts_code,symbol,name,industry
000685.SZ,000685,中山公用,水务
000686.SZ,000686,东北证券,证券
000688.SZ,000688,国城矿业,铅锌
000690.SZ,000690,宝新能源,火力发电
000691.SZ,000691,亚太实业,化工原料
000692.SZ,000692,*ST惠天,供气供热
000695.SZ,000695,滨海能源,广告包装
000697.SZ,000697,*ST炼石,航空
000698.SZ,000698,沈阳化工,石油加工
000700.SZ,000700,模塑科技,汽车配件
000701.SZ,000701,厦门信达,商贸代理
000702.SZ,000702,正虹科技,饲料
000703.SZ,000703,恒逸石化,化纤
000705.SZ,000705,浙江震元,医药商业
000707.SZ,000707,双环科技,化工原料
000708.SZ,000708,中信特钢,特种钢
000709.SZ,000709,河钢股份,普钢
000710.SZ,000710,贝瑞基因,医疗保健
000711.SZ,000711,*ST京蓝,环境保护
000712.SZ,000712,锦龙股份,证券
000713.SZ,000713,丰乐种业,种植业
000715.SZ,000715,中兴商业,百货
000716.SZ,000716,黑芝麻,食品
000717.SZ,000717,中南股份,普钢
000718.SZ,000718,苏宁环球,区域地产
000719.SZ,000719,中原传媒,出版业
000720.SZ,000720,新能泰山,电气设备
000721.SZ,000721,西安饮食,酒店餐饮
000722.SZ,000722,湖南发展,其他建材
000723.SZ,000723,美锦能源,焦炭加工
000725.SZ,000725,京东方A,元器件
000726.SZ,000726,鲁泰A,纺织
000727.SZ,000727,冠捷科技,元器件
000728.SZ,000728,国元证券,证券
000729.SZ,000729,燕京啤酒,啤酒
000731.SZ,000731,四川美丰,农药化肥
000733.SZ,000733,振华科技,元器件
000735.SZ,000735,罗牛山,农业综合
000736.SZ,000736,中交地产,全国地产
000737.SZ,000737,北方铜业,铜
000738.SZ,000738,航发控制,航空
000739.SZ,000739,普洛药业,化学制药
000750.SZ,000750,国海证券,证券
000751.SZ,000751,锌业股份,铅锌
000752.SZ,000752,*ST西发,啤酒
000753.SZ,000753,漳州发展,汽车服务
000755.SZ,000755,山西路桥,路桥
000756.SZ,000756,新华制药,化学制药
000757.SZ,000757,浩物股份,汽车服务
000758.SZ,000758,中色股份,铅锌
000759.SZ,000759,中百集团,超市连锁
000761.SZ,000761,本钢板材,普钢
000762.SZ,000762,西藏矿业,小金属
000766.SZ,000766,通化金马,化学制药
000767.SZ,000767,晋控电力,火力发电
000768.SZ,000768,中航西飞,航空
000776.SZ,000776,广发证券,证券
000777.SZ,000777,中核科技,机械基件
000778.SZ,000778,新兴铸管,钢加工
000779.SZ,000779,甘咨询,建筑工程
000782.SZ,000782,美达股份,化纤
000783.SZ,000783,长江证券,证券
000785.SZ,000785,居然之家,百货
000786.SZ,000786,北新建材,其他建材
000788.SZ,000788,北大医药,化学制药
000789.SZ,000789,万年青,水泥
000790.SZ,000790,华神科技,中成药
000791.SZ,000791,甘肃能源,水力发电
000792.SZ,000792,盐湖股份,农药化肥
000793.SZ,000793,华闻集团,出版业
000795.SZ,000795,英洛华,矿物制品
000796.SZ,000796,*ST凯撒,旅游服务
000797.SZ,000797,中国武夷,全国地产
000798.SZ,000798,中水渔业,渔业
000799.SZ,000799,酒鬼酒,白酒
000800.SZ,000800,一汽解放,汽车整车
000801.SZ,000801,四川九洲,家用电器
000802.SZ,000802,北京文化,影视音像
000803.SZ,000803,山高环能,环境保护
000807.SZ,000807,云铝股份,铝
000809.SZ,000809,铁岭新城,区域地产
000810.SZ,000810,创维数字,家用电器
000811.SZ,000811,冰轮环境,工程机械
000812.SZ,000812,陕西金叶,广告包装
000813.SZ,000813,德展健康,化学制药
000815.SZ,000815,美利云,造纸
000816.SZ,000816,智慧农业,农用机械
000818.SZ,000818,航锦科技,化工原料
000819.SZ,000819,岳阳兴长,石油加工
000820.SZ,000820,神雾节能,环境保护
000821.SZ,000821,京山轻机,电气设备
000822.SZ,000822,山东海化,化工原料
000823.SZ,000823,超声电子,元器件
000825.SZ,000825,太钢不锈,特种钢
000826.SZ,000826,启迪环境,环境保护
000828.SZ,000828,东莞控股,路桥
000829.SZ,000829,天音控股,其他商业
000830.SZ,000830,鲁西化工,农药化肥
000831.SZ,000831,中国稀土,小金属
000833.SZ,000833,粤桂股份,食品
000836.SZ,000836,富通信息,通信设备
000837.SZ,000837,秦川机床,机床制造
000838.SZ,000838,财信发展,区域地产
000839.SZ,000839,ST国安,综合类
000848.SZ,000848,承德露露,软饮料
000850.SZ,000850,华茂股份,纺织
000851.SZ,000851,高鸿股份,通信设备
000852.SZ,000852,石化机械,化工机械
000856.SZ,000856,冀东装备,专用机械
000858.SZ,000858,五粮液,白酒
000859.SZ,000859,国风新材,塑料
000860.SZ,000860,顺鑫农业,白酒
000861.SZ,000861,海印股份,其他商业
000862.SZ,000862,银星能源,新型电力
000863.SZ,000863,三湘印象,区域地产
000868.SZ,000868,安凯客车,汽车整车
000869.SZ,000869,张裕A,红黄酒
000875.SZ,000875,吉电股份,火力发电
000876.SZ,000876,新希望,饲料
000877.SZ,000877,天山股份,水泥
000878.SZ,000878,云南铜业,铜
000880.SZ,000880,潍柴重机,专用机械
000881.SZ,000881,中广核技,综合类
000882.SZ,000882,华联股份,其他商业
000883.SZ,000883,湖北能源,火力发电
000885.SZ,000885,城发环境,环境保护
000886.SZ,000886,海南高速,区域地产
000887.SZ,000887,中鼎股份,汽车配件
000888.SZ,000888,峨眉山A,旅游景点
000889.SZ,000889,ST中嘉,通信设备
000890.SZ,000890,法尔胜,环境保护
000892.SZ,000892,欢瑞世纪,影视音像
000893.SZ,000893,亚钾国际,农药化肥
000895.SZ,000895,双汇发展,食品
000897.SZ,000897,津滨发展,区域地产
000898.SZ,000898,鞍钢股份,普钢
000899.SZ,000899,赣能股份,火力发电
000900.SZ,000900,现代投资,路桥
000901.SZ,000901,航天科技,汽车配件
000902.SZ,000902,新洋丰,农药化肥
000903.SZ,000903,云内动力,汽车配件
000905.SZ,000905,厦门港务,港口
000906.SZ,000906,浙商中拓,仓储物流
000908.SZ,000908,景峰医药,化学制药
000909.SZ,000909,ST数源,综合类
000910.SZ,000910,大亚圣象,家居用品
000911.SZ,000911,广农糖业,食品
000912.SZ,000912,泸天化,农药化肥
000913.SZ,000913,钱江摩托,摩托车
000915.SZ,000915,华特达因,化学制药
000917.SZ,000917,电广传媒,影视音像
000919.SZ,000919,金陵药业,化学制药
000920.SZ,000920,沃顿科技,环境保护
000921.SZ,000921,海信家电,家用电器
000922.SZ,000922,佳电股份,电气设备
000923.SZ,000923,河钢资源,普钢
000925.SZ,000925,众合科技,运输设备
000926.SZ,000926,福星股份,区域地产
000927.SZ,000927,中国铁物,仓储物流
000928.SZ,000928,中钢国际,建筑工程
000929.SZ,000929,兰州黄河,啤酒
000930.SZ,000930,中粮科技,农业综合
000931.SZ,000931,中关村,化学制药
000932.SZ,000932,华菱钢铁,普钢
000933.SZ,000933,神火股份,铝
000935.SZ,000935,四川双马,水泥
000936.SZ,000936,华西股份,化纤
000937.SZ,000937,冀中能源,煤炭开采
000938.SZ,000938,紫光股份,软件服务
000948.SZ,000948,南天信息,软件服务
000949.SZ,000949,新乡化纤,化纤
000950.SZ,000950,重药控股,医药商业
000951.SZ,000951,中国重汽,汽车整车
000952.SZ,000952,广济药业,化学制药
000953.SZ,000953,河化股份,化学制药
000955.SZ,000955,欣龙控股,纺织
000957.SZ,000957,中通客车,汽车整车
000958.SZ,000958,电投产融,多元金融
000959.SZ,000959,首钢股份,普钢
000960.SZ,000960,锡业股份,小金属
000961.SZ,000961,中南建设,全国地产
000962.SZ,000962,东方钽业,小金属
000963.SZ,000963,华东医药,化学制药
000965.SZ,000965,天保基建,区域地产
000966.SZ,000966,长源电力,火力发电
000967.SZ,000967,盈峰环境,环境保护
000968.SZ,000968,蓝焰控股,石油开采
000969.SZ,000969,安泰科技,小金属
000970.SZ,000970,中科三环,矿物制品
000971.SZ,000971,ST高升,互联网
000972.SZ,000972,中基健康,食品
000973.SZ,000973,佛塑科技,塑料
000975.SZ,000975,银泰黄金,黄金
000976.SZ,000976,ST华铁,运输设备
000977.SZ,000977,浪潮信息,IT设备
000978.SZ,000978,桂林旅游,旅游景点
000980.SZ,000980,众泰汽车,汽车配件
